n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
1,641.3192283116606,12.099266613282515,21283.028434163225,2820040.749641474,9460302.522076355,338617924.6835504,10641.514217081613,1275.0197037968055
2,1349.978627391284,19.590891189265747,43147.13899603548,5889605.636557158,15317933.164979855,338617924.6835504,21573.56949801774,2880.257886781411
3,2456.900037073556,56.26583643169371,89312.5316492492,12487757.360981653,43993727.16666491,338617924.6835504,44656.2658246246,5623.598085837403
4,3931.0741233850354,100.0,148787.78584684446,19830648.08949838,78189057.43998502,338617924.6835504,74393.89292342223,8610.40035938297
5,6058.62366849879,109.26559595866915,223267.21803572134,28374177.765933197,85433739.58626767,338617924.6835504,111633.60901786067,13240.072853444031
6,7256.752928684368,130.54853262900698,261579.20159636502,33999567.58955005,102074667.16435237,338617924.6835504,130789.60079818251,15897.778117213711
7,7780.73525120101,128.9653725443029,276314.7316390259,35857025.10068106,100836809.21635622,338617924.6835504,138157.36581951295,17014.699875959748
8,8470.84424925681,139.74439525179625,297306.9038844637,39016597.651041225,109264825.4725876,338617924.6835504,148653.45194223186,18550.204676104004
9,9545.822592768605,159.78971000740253,342624.25964146876,44276808.861331634,124938068.14087261,338617924.6835504,171312.12982073438,21006.075757742394
10,10116.718315034326,168.2110400717075,362307.61056685133,46892326.658207506,131522626.7420635,338617924.6835504,181153.80528342567,22248.673017395977
11,11007.086638513245,181.98415229563747,386195.4986727208,50946189.24806414,142291693.37010694,338617924.6835504,193097.7493363604,24272.536720894088
12,11990.323178970419,197.35508499845446,414670.5773906236,55468341.95886248,154310080.77017254,338617924.6835504,207335.2886953118,26495.750452340817
13,13981.791709276391,225.028099432146,489107.54327681474,64693089.671941854,175947349.92110682,338617924.6835504,244553.77163840737,31130.17698970292
14,14694.953251628549,235.80282103699716,513169.0919052634,68009212.60060567,184372003.1857216,338617924.6835504,256584.5459526317,32730.493885195672
15,15618.134150913447,278.55512045819444,569600.9495154964,74164950.59407558,217799623.1370763,338617924.6835504,284800.4747577482,34901.965343550364
16,16259.156430786348,289.21693939213003,592058.4416929089,77153168.74259457,226135998.86747774,338617924.6835504,296029.22084645444,36344.2054083984
17,17259.635407691578,306.4940810511737,634942.3863404196,81939304.33152868,239644833.08325446,338617924.6835504,317471.1931702098,38567.25654860874
18,18260.470893618876,325.7788510781095,661167.5884302391,86643748.3691761,254723412.9967886,338617924.6835504,330583.79421511956,40826.61966200899
19,19482.460966360217,336.4769280315574,692740.6496914858,91641316.19134279,263088138.53089148,338617924.6835504,346370.3248457429,43440.05829796303
